,specaugment0,specaugment1,specaugment2,specaugment3,specaugment4,specaugment5,specaugment6,specaugment7,specaugment8,specaugment9,specaugment10,specaugment11,specaugment12
143,-737.21063,143.92044,15.649119,-14.673437,-6.4004645,-7.6849504,-17.7707,-15.915175,-8.939986,-9.725778,-10.164305,-8.817788,-6.6289225
144,-731.58,142.73044,9.390624,-13.081382,-2.846141,-5.4125366,-13.950849,-12.168339,-6.9679894,-7.425669,-7.236726,-7.013753,-5.421213
145,-734.8522,140.7485,9.38061,-13.374202,-2.645021,-5.696086,-14.899543,-12.736944,-7.099324,-7.396779,-5.7750907,-5.5266085,-5.7972164
146,-704.0571,154.25664,1.9406223,-9.897919,-1.2612675,-6.5347147,-15.504125,-13.632052,-7.6719494,-9.087261,-7.5541325,-6.6050773,-6.2265034
147,-732.13605,144.78152,10.203513,-15.596154,-2.6217415,-6.281577,-17.778807,-14.461671,-8.02295,-9.38212,-8.036517,-5.94065,-5.4979506
148,-696.4654,163.86357,-0.87288815,-21.555464,-5.680458,-9.991562,-20.754177,-14.984276,-7.1326227,-9.528803,-9.295205,-6.5472775,-4.7693596
149,-717.3753,149.64742,5.429936,-12.749333,-2.0953946,-6.3065476,-15.490208,-13.013202,-7.6976743,-9.724022,-8.600585,-6.9730954,-5.8251843
150,-688.898,151.98462,-5.674853,-6.108672,-0.973075,-4.478674,-19.66298,-16.871273,-8.285384,-9.226333,-5.247064,-5.456274,-5.777331
151,-684.8894,156.24544,-2.1473303,-5.5868587,-5.7266045,-7.593211,-19.142643,-17.731009,-11.475734,-10.651268,-6.9350033,-9.71261,-8.270078
152,-737.2754,139.64389,12.269838,-13.27324,-6.4539013,-9.618604,-19.934494,-16.696024,-9.953161,-10.101805,-8.902022,-8.405892,-6.948611
153,-732.3621,141.92336,11.001303,-11.887336,-4.6155324,-8.937015,-17.82917,-14.466084,-8.829651,-8.538027,-7.794716,-7.926719,-6.448374
154,-740.0357,142.52303,16.255564,-15.471302,-7.9200425,-9.437376,-18.170189,-14.545686,-8.111679,-8.510292,-8.621993,-8.745489,-6.3854456
155,-717.7344,148.5238,8.720152,-10.779395,-7.6742415,-11.592917,-18.236198,-14.188934,-8.65737,-10.062791,-10.421754,-11.311527,-8.669611
156,-739.5359,140.49149,13.558284,-14.445252,-7.1862683,-10.342221,-17.849503,-13.746748,-8.186514,-9.415932,-9.22043,-8.919483,-7.769362
157,-725.4969,139.44461,7.117726,-8.758939,-6.216998,-8.306259,-16.441885,-14.708705,-8.616376,-9.383751,-8.123032,-8.047334,-7.41564
158,-670.1407,155.29936,-5.719649,-2.6684813,-10.222279,-6.7368503,-15.121771,-10.843941,-7.5479107,-10.146732,-7.0868945,-8.959356,-7.353059
159,-697.8102,154.95853,4.0151734,-8.719619,-8.8657875,-9.240926,-16.224277,-14.252803,-7.504392,-8.915731,-8.934418,-9.759999,-6.9119062
160,-687.58386,142.89705,-1.7891682,0.870297,-10.948097,-7.542408,-13.991661,-9.919764,-5.7454524,-6.450799,-6.2373686,-7.8077083,-4.324375
161,-705.0538,151.73944,-0.97833186,-13.554285,-3.8548486,-8.12973,-19.010605,-15.9890175,-8.0690565,-7.952972,-6.0085435,-6.3027406,-6.106481
162,-675.64185,146.06335,0.81961596,2.6448157,-5.6210814,-1.4276882,-16.919777,-14.188129,-9.525554,-6.165584,-6.6069736,-6.070178,-2.2840312
163,-772.3267,111.89208,15.560057,-1.8453058,0.9417469,-4.976653,-15.904035,-15.443726,-9.223987,-7.3472786,-5.7232347,-6.5126476,-5.370147
164,-706.2432,140.49907,0.54454273,1.817325,-1.2758143,-4.487311,-15.909461,-18.421553,-10.26058,-8.564058,-5.8688064,-5.9008255,-4.3606806
165,-735.06305,124.84595,4.352991,2.1604118,-1.4596437,-8.065768,-13.062613,-10.637686,-5.6169863,-6.9029555,-5.7773304,-5.2937093,-3.1118636
